Day,CrimeCount,,,
2018-09-23,56,,,
2018-09-24,85,,,
2018-09-25,55,,,
2018-09-26,58,,,
2018-09-27,64,,,
2018-09-28,60,,,
2018-09-29,67,,,
2018-09-30,47,,,
2018-10-01,55,,,
2018-10-02,55,,,
2018-10-03,69,,,
2018-10-04,69,,,
2018-10-05,66,,,
2018-10-06,43,,,
2018-10-07,53,,,
2018-10-08,60,,,
2018-10-09,83,,,
2018-10-10,65,,,
2018-10-11,52,,,
2018-10-12,54,,,
2018-10-13,37,,,
2018-10-14,46,,,
2018-10-15,81,,,
2018-10-16,57,,,
2018-10-17,59,,,
2018-10-18,51,,,
2018-10-19,82,,,
2018-10-20,55,,,
2018-10-21,47,,,
2018-10-22,68,,,
2018-10-23,55,,,
2018-10-24,72,,,
2018-10-25,62,,,
2018-10-26,63,,,
2018-10-27,57,,,
2018-10-28,57,,,
2018-10-29,69,,,
2018-10-30,62,,,
2018-10-31,53,,,
2018-11-01,54,,,
2018-11-02,53,,,
2018-11-03,44,,,
2018-11-04,45,,,
2018-11-05,54,,,
2018-11-06,68,,,
2018-11-07,62,,,
2018-11-08,46,,,
2018-11-09,46,,,
2018-11-10,50,,,
2018-11-11,64,,,
2018-11-12,68,,,
2018-11-13,54,,,
2018-11-14,57,,,
2018-11-15,61,,,
2018-11-16,59,,,
2018-11-17,44,,,
2018-11-18,54,,,
2018-11-19,60,,,
2018-11-20,53,,,
2018-11-21,59,,,
2018-11-22,40,,,
2018-11-23,58,,,
2018-11-24,50,,,
2018-11-25,55,,,
2018-11-26,70,,,
2018-11-27,53,,,
2018-11-28,45,,,
2018-11-29,59,,,
2018-11-30,43,,,
2018-12-01,41,,,
2018-12-02,38,,,
2018-12-03,55,,,
2018-12-04,44,,,
2018-12-05,49,,,
2018-12-06,53,,,
2018-12-07,53,,,
2018-12-08,47,,,
2018-12-09,55,,,
2018-12-10,66,,,
2018-12-11,59,,,
2018-12-12,49,,,
2018-12-13,47,,,
2018-12-14,60,,,
2018-12-15,46,,,
2018-12-16,39,,,
2018-12-17,58,,,
2018-12-18,49,,,
2018-12-19,46,,,
2018-12-20,38,,,
2018-12-21,50,,,
2018-12-22,50,,,
2018-12-23,36,,,
2018-12-24,37,,,
2018-12-25,28,,,
2018-12-26,61,,,
2018-12-27,44,,,
2018-12-28,52,,,
2018-12-29,42,,,
2018-12-30,41,,,
2018-12-31,57,,,
2019-01-01,40,,,
2019-01-02,54,,,
2019-01-03,38,,,
2019-01-04,42,,,
2019-01-05,38,,,
2019-01-06,57,,,
2019-01-07,59,,,
2019-01-08,62,,,
2019-01-09,45,,,
2019-01-10,61,,,
2019-01-11,40,,,
2019-01-12,42,,,
2019-01-13,35,,,
2019-01-14,71,,,
2019-01-15,60,,,
2019-01-16,39,,,
2019-01-17,49,,,
2019-01-18,59,,,
2019-01-19,50,,,
2019-01-20,38,,,
2019-01-21,42,,,
2019-01-22,55,,,
2019-01-23,39,,,
2019-01-24,45,,,
2019-01-25,56,,,
2019-01-26,51,,,
2019-01-27,51,,,
2019-01-28,60,,,
2019-01-29,42,,,
2019-01-30,39,,,
2019-01-31,44,,,
2019-02-01,43,,,
2019-02-02,47,,,
2019-02-03,41,,,
2019-02-04,54,,,
2019-02-05,34,,,
2019-02-06,32,,,
2019-02-07,39,,,
2019-02-08,38,,,
2019-02-09,31,,,
2019-02-10,41,,,
2019-02-11,62,,,
2019-02-12,45,,,
2019-02-13,59,,,
2019-02-14,50,,,
2019-02-15,42,,,
2019-02-16,58,,,
2019-02-17,46,,,
2019-02-18,45,,,
2019-02-19,52,,,
2019-02-20,50,,,
2019-02-21,47,,,
2019-02-22,50,,,
2019-02-23,35,,,
2019-02-24,25,,,
2019-02-25,51,,,
2019-02-26,53,,,
2019-02-27,44,,,
2019-02-28,37,,,
2019-03-01,62,,,
2019-03-02,39,,,
2019-03-03,31,,,
2019-03-04,49,,,
2019-03-05,59,,,
2019-03-06,43,,,
2019-03-07,36,,,
2019-03-08,34,,,
2019-03-09,34,,,
2019-03-10,34,,,
2019-03-11,43,,,
2019-03-12,36,,,
2019-03-13,44,,,
2019-03-14,43,,,
2019-03-15,46,,,
2019-03-16,38,,,
2019-03-17,36,,,
2019-03-18,46,,,
2019-03-19,62,,,
2019-03-20,49,,,
2019-03-21,42,,,
2019-03-22,53,,,
2019-03-23,49,,,
2019-03-24,50,,,
2019-03-25,62,,,
2019-03-26,61,,,
2019-03-27,55,,,
2019-03-28,61,,,
2019-03-29,57,,,
2019-03-30,51,,,
2019-03-31,52,,,
2019-04-01,62,,,
2019-04-02,40,,,
2019-04-03,46,,,
2019-04-04,35,,,
2019-04-05,66,,,
2019-04-06,64,,,
2019-04-07,59,,,
2019-04-08,86,,,
2019-04-09,77,,,
2019-04-10,49,,,
2019-04-11,42,,,
2019-04-12,39,,,
2019-04-13,36,,,
2019-04-14,42,,,
2019-04-15,72,,,
2019-04-16,52,,,
2019-04-17,66,,,
2019-04-18,61,,,
2019-04-19,53,,,
2019-04-20,52,,,
2019-04-21,59,,,
2019-04-22,62,,,
2019-04-23,64,,,
2019-04-24,51,,,
2019-04-25,51,,,
2019-04-26,62,,,
2019-04-27,63,,,
2019-04-28,45,,,
2019-04-29,93,,,
2019-04-30,66,,,
2019-05-01,47,,,
2019-05-02,48,,,
2019-05-03,55,,,
2019-05-04,56,,,
2019-05-05,61,,,
2019-05-06,85,,,
2019-05-07,77,,,
2019-05-08,60,,,
2019-05-09,62,,,
2019-05-10,67,,,
2019-05-11,55,,,
2019-05-12,47,,,
2019-05-13,71,,,
2019-05-14,53,,,
2019-05-15,82,,,
2019-05-16,66,,,
2019-05-17,72,,,
2019-05-18,63,,,
2019-05-19,45,,,
2019-05-20,63,,,
2019-05-21,74,,,
2019-05-22,72,,,
2019-05-23,85,,,
2019-05-24,74,,,
2019-05-25,61,,,
2019-05-26,64,,,
2019-05-27,57,,,
2019-05-28,75,,,
2019-05-29,82,,,
2019-05-30,70,,,
2019-05-31,63,,,
2019-06-01,48,,,
2019-06-02,54,,,
2019-06-03,89,,,
2019-06-04,62,,,
2019-06-05,78,,,
2019-06-06,77,,,
2019-06-07,76,,,
2019-06-08,65,,,
2019-06-09,74,,,
2019-06-10,87,,,
2019-06-11,93,,,
2019-06-12,83,,,
2019-06-13,77,,,
2019-06-14,70,,,
2019-06-15,60,,,
2019-06-16,73,,,
2019-06-17,81,,,
2019-06-18,80,,,
2019-06-19,84,,,
2019-06-20,74,,,
2019-06-21,77,,,
2019-06-22,66,,,
2019-06-23,70,,,
2019-06-24,87,,,
2019-06-25,78,,,
2019-06-26,83,,,
2019-06-27,72,,,
2019-06-28,82,,,
2019-06-29,74,,,
2019-06-30,65,,,
2019-07-01,99,,,
2019-07-02,74,,,
2019-07-03,72,,,
2019-07-04,44,,,
2019-07-05,77,,,
2019-07-06,66,,,
2019-07-07,74,,,
2019-07-08,106,,,
2019-07-09,84,,,
2019-07-10,84,,,
2019-07-11,87,,,
2019-07-12,78,,,
2019-07-13,72,,,
2019-07-14,61,,,
2019-07-15,91,,,
2019-07-16,63,,,
2019-07-17,61,,,
2019-07-18,61,,,
2019-07-19,72,,,
2019-07-20,62,,,
2019-07-21,56,,,
2019-07-22,83,,,
2019-07-23,86,,,
2019-07-24,75,,,
2019-07-25,82,,,
2019-07-26,76,,,
2019-07-27,57,,,
2019-07-28,74,,,
2019-07-29,86,,,
2019-07-30,78,,,
2019-07-31,84,,,
2019-08-01,67,,,
2019-08-02,72,,,
2019-08-03,57,,,
2019-08-04,59,,,
2019-08-05,87,,,
2019-08-06,82,,,
2019-08-07,68,,,
2019-08-08,74,,,
2019-08-09,78,,,
2019-08-10,54,,,
2019-08-11,61,,,
2019-08-12,77,,,
2019-08-13,83,,,
2019-08-14,80,,,
2019-08-15,57,,,
2019-08-16,66,,,
2019-08-17,71,,,
2019-08-18,56,,,
2019-08-19,81,,,
2019-08-20,76,,,
2019-08-21,62,,,
2019-08-22,85,,,
2019-08-23,89,,,
2019-08-24,76,,,
2019-08-25,73,,,
2019-08-26,90,,,
2019-08-27,103,,,
2019-08-28,91,,,
2019-08-29,90,,,
2019-08-30,92,,,
2019-08-31,63,,,
2019-09-01,43,,,
2019-09-02,73,,,
2019-09-03,100,,,
2019-09-04,82,,,
2019-09-05,74,,,
2019-09-06,90,,,
2019-09-07,53,,,
2019-09-08,64,,,
2019-09-09,91,,,
2019-09-10,76,,,
2019-09-11,76,,,
2019-09-12,83,,,
2019-09-13,72,,,
2019-09-14,76,,,
2019-09-15,70,,,
2019-09-16,100,,,
2019-09-17,82,,,
2019-09-18,76,,,
2019-09-19,75,,,
2019-09-20,79,,,
2019-09-21,53,,,
2019-09-22,72,,,
2019-09-23,84,,,
2019-09-24,99,,,
2019-09-25,73,,,
2019-09-26,74,,,
2019-09-27,74,,,
2019-09-28,53,,,
2019-09-29,55,,,
2019-09-30,76,,,
2019-10-01,60,,,
2019-10-02,71,,,
2019-10-03,71,,,
2019-10-04,68,,,
2019-10-05,60,,,
2019-10-06,62,,,
2019-10-07,72,,,
2019-10-08,75,,,
2019-10-09,62,,,
2019-10-10,76,,,
2019-10-11,76,,,
2019-10-12,45,,,
2019-10-13,61,,,
2019-10-14,64,,,
2019-10-15,71,,,
2019-10-16,70,,,
2019-10-17,73,,,
2019-10-18,88,,,
2019-10-19,52,,,
2019-10-20,64,,,
2019-10-21,73,,,
2019-10-22,64,,,
2019-10-23,68,,,
2019-10-24,77,,,
2019-10-25,74,,,
2019-10-26,56,,,
2019-10-27,59,,,
2019-10-28,76,,,
2019-10-29,65,,,
2019-10-30,71,,,
2019-10-31,79,,,
2019-11-01,69,,,
2019-11-02,62,,,
2019-11-03,62,,,
2019-11-04,90,,,
2019-11-05,76,,,
2019-11-06,70,,,
2019-11-07,56,,,
2019-11-08,69,,,
2019-11-09,54,,,
2019-11-10,63,,,
2019-11-11,63,,,
2019-11-12,76,,,
2019-11-13,67,,,
2019-11-14,67,,,
2019-11-15,71,,,
2019-11-16,58,,,
2019-11-17,75,,,
2019-11-18,86,,,
2019-11-19,73,,,
2019-11-20,67,,,
2019-11-21,76,,,
2019-11-22,76,,,
2019-11-23,49,,,
2019-11-24,67,,,
2019-11-25,87,,,
2019-11-26,80,,,
2019-11-27,53,,,
2019-11-28,32,,,
2019-11-29,40,,,
2019-11-30,38,,,
2019-12-01,40,,,
2019-12-02,58,,,
2019-12-03,75,,,
2019-12-04,58,,,
2019-12-05,67,,,
2019-12-06,72,,,
2019-12-07,52,,,
2019-12-08,50,,,
2019-12-09,85,,,
2019-12-10,56,,,
2019-12-11,52,,,
2019-12-12,61,,,
2019-12-13,61,,,
2019-12-14,44,,,
2019-12-15,47,,,
2019-12-16,73,,,
2019-12-17,57,,,
2019-12-18,59,,,
2019-12-19,55,,,
2019-12-20,70,,,
2019-12-21,61,,,
2019-12-22,59,,,
2019-12-23,88,,,
2019-12-24,60,,,
2019-12-25,29,,,
2019-12-26,67,,,
2019-12-27,75,,,
2019-12-28,49,,,
2019-12-29,41,,,
2019-12-30,64,,,
2019-12-31,53,,,
2020-01-01,73,,,
2020-01-02,76,,,
2020-01-03,51,,,
2020-01-04,36,,,
2020-01-05,40,,,
2020-01-06,75,,,
2020-01-07,66,,,
2020-01-08,73,,,
2020-01-09,51,,,
2020-01-10,62,,,
2020-01-11,39,,,
2020-01-12,41,,,
2020-01-13,60,,,
2020-01-14,55,,,
2020-01-15,69,,,
2020-01-16,90,,,
2020-01-17,60,,,
2020-01-18,46,,,
2020-01-19,69,,,
2020-01-20,60,,,
2020-01-21,69,,,
2020-01-22,73,,,
2020-01-23,66,,,
2020-01-24,50,,,
2020-01-25,51,,,
2020-01-26,60,,,
2020-01-27,84,,,
2020-01-28,65,,,
2020-01-29,61,,,
2020-01-30,55,,,
2020-01-31,56,,,
2020-02-01,59,,,
2020-02-02,38,,,
2020-02-03,69,,,
2020-02-04,60,,,
2020-02-05,68,,,
2020-02-06,56,,,
2020-02-07,65,,,
2020-02-08,50,,,
2020-02-09,43,,,
2020-02-10,65,,,
2020-02-11,58,,,
2020-02-12,48,,,
2020-02-13,54,,,
2020-02-14,56,,,
2020-02-15,46,,,
2020-02-16,62,,,
2020-02-17,42,,,
2020-02-18,84,,,
2020-02-19,60,,,
2020-02-20,59,,,
2020-02-21,57,,,
2020-02-22,49,,,
2020-02-23,46,,,
2020-02-24,73,,,
2020-02-25,47,,,
2020-02-26,52,,,
2020-02-27,44,,,
2020-02-28,61,,,
2020-02-29,42,,,
2020-03-01,63,,,
2020-03-02,65,,,
2020-03-03,67,,,
2020-03-04,67,,,
2020-03-05,57,,,
2020-03-06,50,,,
2020-03-07,55,,,
2020-03-08,53,,,
2020-03-09,75,,,
2020-03-10,89,,,
2020-03-11,71,,,
2020-03-12,51,,,
2020-03-13,73,,,
2020-03-14,38,,,
2020-03-15,46,,,
2020-03-16,74,,,
2020-03-17,58,,,
2020-03-18,69,,,
2020-03-19,55,,,
2020-03-20,57,,,
2020-03-21,45,,,
2020-03-22,44,,,
2020-03-23,58,,,
2020-03-24,57,,,
2020-03-25,41,,,
2020-03-26,54,,,
2020-03-27,70,,,
2020-03-28,37,,,
2020-03-29,37,,,
2020-03-30,63,,,
2020-03-31,52,,,
