CaseNumber,ReportedDate,Offense,UCRCode,ReportedYearMonth,ReportedDay
MP 2018 168775,2018-05-24 08:00:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 168816,2018-05-24 09:16:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 168857,2018-05-24 10:31:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168876,2018-05-24 10:50:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168906,2018-05-24 11:25:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997424,2018-05-24 11:48:20+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168828,2018-05-24 13:30:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169000,2018-05-24 13:07:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168897,2018-05-24 13:15:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 997422,2018-05-24 13:35:57+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169032,2018-05-24 13:44:00+00:00,Assault,5,2018-05,2018-05-24
MP 2018 997421,2018-05-24 14:36:13+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997420,2018-05-24 14:39:33+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169154,2018-05-24 15:21:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169151,2018-05-24 16:25:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169260,2018-05-24 16:45:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997417,2018-05-24 16:58:28+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997416,2018-05-24 17:12:44+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169350,2018-05-24 17:48:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169407,2018-05-24 18:42:00+00:00,Assault,5,2018-05,2018-05-24
MP 2018 169378,2018-05-24 18:52:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169429,2018-05-24 19:08:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 169353,2018-05-24 19:00:00+00:00,Auto Theft,8,2018-05,2018-05-24
MP 2018 169471,2018-05-24 19:20:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 997415,2018-05-24 19:29:24+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997414,2018-05-24 19:52:04+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169459,2018-05-24 19:55:00+00:00,Assault,5,2018-05,2018-05-24
MP 2018 169562,2018-05-24 20:20:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169607,2018-05-24 20:20:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169439,2018-05-24 20:29:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997413,2018-05-24 20:55:18+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169424,2018-05-24 20:57:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169647,2018-05-24 22:00:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169473,2018-05-24 21:45:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169731,2018-05-24 21:57:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169480,2018-05-24 22:00:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 169658,2018-05-24 22:00:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169572,2018-05-24 22:20:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169897,2018-05-25 00:48:00+00:00,Assault,5,2018-05,2018-05-25
MP 2018 169820,2018-05-25 01:20:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 165950,2018-05-25 01:43:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 169985,2018-05-25 01:47:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170017,2018-05-25 03:20:00+00:00,Robbery,4,2018-05,2018-05-25
MP 2018 170104,2018-05-25 05:40:00+00:00,Robbery,4,2018-05,2018-05-25
MP 2018 170176,2018-05-25 08:00:00+00:00,Auto Theft,8,2018-05,2018-05-25
MP 2018 170141,2018-05-25 08:00:00+00:00,Robbery,4,2018-05,2018-05-25
MP 2018 997411,2018-05-25 09:22:29+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997410,2018-05-25 10:15:44+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170191,2018-05-25 10:25:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170271,2018-05-25 11:25:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170303,2018-05-25 11:35:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997409,2018-05-25 11:48:06+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997408,2018-05-25 12:02:54+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170363,2018-05-25 12:07:00+00:00,Auto Theft,8,2018-05,2018-05-25
MP 2018 997406,2018-05-25 12:50:19+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170393,2018-05-25 12:50:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170290,2018-05-25 12:56:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997405,2018-05-25 12:57:52+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997404,2018-05-25 13:02:30+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997403,2018-05-25 13:11:58+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997402,2018-05-25 13:42:36+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170410,2018-05-25 13:44:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170356,2018-05-25 14:12:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 170447,2018-05-25 14:10:00+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997401,2018-05-25 14:13:17+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997399,2018-05-25 14:51:35+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 169808,2018-05-25 15:30:00+00:00,Assault,5,2018-05,2018-05-25
MP 2018 170536,2018-05-25 15:37:00+00:00,Burglary,6,2018-05,2018-05-25
MP 2018 997398,2018-05-25 15:53:13+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997397,2018-05-25 16:00:08+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997396,2018-05-25 16:11:45+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997395,2018-05-25 16:16:06+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997394,2018-05-25 16:33:16+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997393,2018-05-25 16:44:55+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 997392,2018-05-25 17:43:01+00:00,Larceny,7,2018-05,2018-05-25
MP 2018 159235,2018-05-17 12:17:00+00:00,Larceny,7,2018-05,2018-05-17
MP 2018 159439,2018-05-18 08:30:00+00:00,Assault,5,2018-05,2018-05-18
MP 2018 160492,2018-05-18 09:51:00+00:00,Auto Theft,8,2018-05,2018-05-18
MP 2018 160730,2018-05-18 13:49:00+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 160718,2018-05-18 13:40:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 160831,2018-05-18 14:33:00+00:00,Auto Theft,8,2018-05,2018-05-18
MP 2018 160819,2018-05-18 15:00:00+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 160803,2018-05-18 13:40:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 160897,2018-05-18 16:10:00+00:00,Auto Theft,8,2018-05,2018-05-18
MP 2018 160907,2018-05-18 15:30:00+00:00,Auto Theft,8,2018-05,2018-05-18
MP 2018 161003,2018-05-18 17:36:00+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 160894,2018-05-18 15:19:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 161069,2018-05-18 19:20:00+00:00,Robbery,4,2018-05,2018-05-18
MP 2018 161024,2018-05-18 16:27:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 161027,2018-05-18 18:36:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 160946,2018-05-18 19:35:00+00:00,Rape,3,2018-05,2018-05-18
MP 2018 161066,2018-05-18 19:37:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 161175,2018-05-18 19:01:00+00:00,Robbery,4,2018-05,2018-05-18
MP 2018 161100,2018-05-18 18:45:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 161128,2018-05-18 20:04:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 161307,2018-05-18 20:38:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 161228,2018-05-18 21:45:00+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 161171,2018-05-18 22:35:00+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 161497,2018-05-18 22:40:00+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 161133,2018-05-18 23:30:00+00:00,Auto Theft,8,2018-05,2018-05-18
MP 2018 161523,2018-05-18 23:27:00+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 161486,2018-05-18 23:39:00+00:00,Burglary,6,2018-05,2018-05-18
MP 2018 161585,2018-05-19 00:22:00+00:00,Robbery,4,2018-05,2018-05-19
MP 2018 161533,2018-05-19 00:30:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 161696,2018-05-19 01:18:00+00:00,Assault,5,2018-05,2018-05-19
MP 2018 997535,2018-05-19 01:27:43+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161847,2018-05-19 04:04:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161887,2018-05-19 05:31:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 997534,2018-05-19 07:46:46+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161945,2018-05-19 09:10:00+00:00,Auto Theft,8,2018-05,2018-05-19
MP 2018 161928,2018-05-19 09:15:00+00:00,Robbery,4,2018-05,2018-05-19
MP 2018 161912,2018-05-19 09:20:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161942,2018-05-19 09:30:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 997532,2018-05-19 09:39:27+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161978,2018-05-19 09:58:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161960,2018-05-19 10:06:00+00:00,Robbery,4,2018-05,2018-05-19
MP 2018 161958,2018-05-19 10:50:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 162040,2018-05-19 10:32:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162037,2018-05-19 11:06:00+00:00,Auto Theft,8,2018-05,2018-05-19
MP 2018 162002,2018-05-19 11:16:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 161967,2018-05-19 11:15:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997530,2018-05-19 12:14:48+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162045,2018-05-19 12:50:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162107,2018-05-19 12:52:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162125,2018-05-19 13:06:00+00:00,Auto Theft,8,2018-05,2018-05-19
MP 2018 997529,2018-05-19 13:22:06+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997528,2018-05-19 13:29:19+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162189,2018-05-19 13:39:00+00:00,Auto Theft,8,2018-05,2018-05-19
MP 2018 997527,2018-05-19 13:50:02+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997526,2018-05-19 14:02:37+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997525,2018-05-19 16:13:46+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997524,2018-05-19 16:38:11+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997523,2018-05-19 16:43:17+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997522,2018-05-19 17:10:48+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997521,2018-05-19 18:58:29+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 157828,2018-05-16 14:41:00+00:00,Larceny,7,2018-05,2018-05-16
MP 2018 159616,2018-05-17 18:15:00+00:00,Larceny,7,2018-05,2018-05-17
MP 2018 997547,2018-05-18 11:30:48+00:00,Larceny,7,2018-05,2018-05-18
MP 2018 161480,2018-05-19 00:42:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161897,2018-05-19 06:00:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 161940,2018-05-19 09:25:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 162014,2018-05-19 10:45:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 162035,2018-05-19 13:46:00+00:00,Assault,5,2018-05,2018-05-19
MP 2018 162123,2018-05-19 14:02:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 162175,2018-05-19 14:15:00+00:00,Assault,5,2018-05,2018-05-19
MP 2018 162201,2018-05-19 14:00:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 162272,2018-05-19 15:23:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162191,2018-05-19 14:25:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162242,2018-05-19 16:30:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162312,2018-05-19 16:50:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162247,2018-05-19 17:12:00+00:00,Burglary,6,2018-05,2018-05-19
MP 2018 162485,2018-05-19 18:55:00+00:00,Assault,5,2018-05,2018-05-19
MP 2018 997520,2018-05-19 19:33:33+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162408,2018-05-19 20:36:00+00:00,Assault,5,2018-05,2018-05-19
MP 2018 162498,2018-05-19 21:03:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 997518,2018-05-19 21:11:23+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162749,2018-05-19 22:28:00+00:00,Larceny,7,2018-05,2018-05-19
MP 2018 162682,2018-05-19 23:50:00+00:00,Assault,5,2018-05,2018-05-19
MP 2018 162819,2018-05-20 00:55:00+00:00,Assault,5,2018-05,2018-05-20
MP 2018 162913,2018-05-20 01:00:00+00:00,Robbery,4,2018-05,2018-05-20
MP 2018 162891,2018-05-20 01:04:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163015,2018-05-20 02:20:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163003,2018-05-20 03:07:00+00:00,Auto Theft,8,2018-05,2018-05-20
MP 2018 163099,2018-05-20 05:10:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163141,2018-05-20 08:14:00+00:00,Auto Theft,8,2018-05,2018-05-20
MP 2018 163143,2018-05-20 08:35:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 997516,2018-05-20 08:40:50+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163207,2018-05-20 10:13:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163203,2018-05-20 10:26:00+00:00,Rape,3,2018-05,2018-05-20
MP 2018 163205,2018-05-20 10:26:00+00:00,Auto Theft,8,2018-05,2018-05-20
MP 2018 163184,2018-05-20 10:30:00+00:00,Assault,5,2018-05,2018-05-20
MP 2018 163200,2018-05-20 10:39:00+00:00,Auto Theft,8,2018-05,2018-05-20
MP 2018 163247,2018-05-20 11:50:00+00:00,Rape,3,2018-05,2018-05-20
MP 2018 163251,2018-05-20 11:45:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163272,2018-05-20 12:46:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163337,2018-05-20 13:19:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163356,2018-05-20 13:54:00+00:00,Robbery,4,2018-05,2018-05-20
MP 2018 997512,2018-05-20 13:56:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163365,2018-05-20 14:00:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163342,2018-05-20 14:00:00+00:00,Auto Theft,8,2018-05,2018-05-20
MP 2018 997511,2018-05-20 14:30:47+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163345,2018-05-20 14:33:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 997510,2018-05-20 14:37:38+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163338,2018-05-20 14:39:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163399,2018-05-20 14:40:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163392,2018-05-20 15:00:00+00:00,Robbery,4,2018-05,2018-05-20
MP 2018 163411,2018-05-20 15:36:00+00:00,Auto Theft,8,2018-05,2018-05-20
MP 2018 997509,2018-05-20 15:44:16+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163478,2018-05-20 15:58:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163490,2018-05-20 16:10:00+00:00,Auto Theft,8,2018-05,2018-05-20
MP 2018 997508,2018-05-20 16:20:41+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 997507,2018-05-20 16:53:02+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 997506,2018-05-20 17:02:54+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163441,2018-05-20 17:33:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 997505,2018-05-20 17:33:09+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163532,2018-05-20 18:00:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163509,2018-05-20 16:24:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163741,2018-05-20 20:37:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163727,2018-05-20 20:40:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163772,2018-05-20 20:59:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163670,2018-05-20 21:45:00+00:00,Assault,5,2018-05,2018-05-20
MP 2018 163570,2018-05-20 21:05:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163573,2018-05-20 21:29:00+00:00,Robbery,4,2018-05,2018-05-20
MP 2018 163806,2018-05-20 21:37:00+00:00,Assault,5,2018-05,2018-05-20
MP 2018 163530,2018-05-20 21:42:00+00:00,Burglary,6,2018-05,2018-05-20
MP 2018 163730,2018-05-20 21:47:00+00:00,Robbery,4,2018-05,2018-05-20
MP 2018 163651,2018-05-20 21:56:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163782,2018-05-20 22:16:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163519,2018-05-20 22:40:00+00:00,Larceny,7,2018-05,2018-05-20
MP 2018 163992,2018-05-21 00:10:00+00:00,Robbery,4,2018-05,2018-05-21
MP 2018 163719,2018-05-21 00:31:00+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 997502,2018-05-21 01:04:12+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 164014,2018-05-21 02:00:00+00:00,Burglary,6,2018-05,2018-05-21
MP 2018 163909,2018-05-21 02:42:00+00:00,Auto Theft,8,2018-05,2018-05-21
MP 2018 164159,2018-05-21 03:40:00+00:00,Auto Theft,8,2018-05,2018-05-21
MP 2018 164169,2018-05-21 04:27:00+00:00,Assault,5,2018-05,2018-05-21
MP 2018 164190,2018-05-21 05:19:00+00:00,Robbery,4,2018-05,2018-05-21
MP 2018 164212,2018-05-21 05:53:00+00:00,Assault,5,2018-05,2018-05-21
MP 2018 164187,2018-05-21 06:36:00+00:00,Burglary,6,2018-05,2018-05-21
MP 2018 997501,2018-05-21 08:39:35+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 164316,2018-05-21 09:29:00+00:00,Burglary,6,2018-05,2018-05-21
MP 2018 164301,2018-05-21 09:39:00+00:00,Auto Theft,8,2018-05,2018-05-21
MP 2018 997500,2018-05-21 10:46:53+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 164353,2018-05-21 09:56:00+00:00,Burglary,6,2018-05,2018-05-21
MP 2018 997498,2018-05-21 11:19:26+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 997496,2018-05-21 11:30:34+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 164468,2018-05-21 11:44:00+00:00,Assault,5,2018-05,2018-05-21
MP 2018 164503,2018-05-21 13:07:00+00:00,Robbery,4,2018-05,2018-05-21
MP 2018 164317,2018-05-21 13:21:00+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 164508,2018-05-21 14:13:00+00:00,Burglary,6,2018-05,2018-05-21
MP 2018 164556,2018-05-21 14:20:00+00:00,Burglary,6,2018-05,2018-05-21
MP 2018 164752,2018-05-21 17:07:00+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 997487,2018-05-21 17:36:21+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 997486,2018-05-21 17:57:53+00:00,Larceny,7,2018-05,2018-05-21
MP 2018 143114,2018-05-05 07:50:00+00:00,Assault,5,2018-05,2018-05-05
MP 2018 173204,2018-05-27 19:58:00+00:00,Assault,5,2018-05,2018-05-27
MP 2018 173782,2018-05-28 01:23:00+00:00,Assault,5,2018-05,2018-05-28
MP 2018 175948,2018-05-29 20:00:00+00:00,Larceny,7,2018-05,2018-05-29
MP 2018 176472,2018-05-30 02:18:00+00:00,Larceny,7,2018-05,2018-05-30
MP 2018 176949,2018-05-30 19:20:00+00:00,Rape,3,2018-05,2018-05-30
MP 2018 178561,2018-05-31 16:14:00+00:00,Rape,3,2018-05,2018-05-31
MP 2018 179394,2018-06-01 04:26:00+00:00,Assault,5,2018-06,2018-06-01
MP 2018 179923,2018-06-01 15:10:00+00:00,Larceny,7,2018-06,2018-06-01
MP 2018 180176,2018-06-01 18:30:00+00:00,Assault,5,2018-06,2018-06-01
MP 2018 180477,2018-06-01 20:59:00+00:00,Auto Theft,8,2018-06,2018-06-01
MP 2018 180532,2018-06-01 21:25:00+00:00,Larceny,7,2018-06,2018-06-01
MP 2018 180954,2018-06-02 03:10:00+00:00,Assault,5,2018-06,2018-06-02
MP 2018 180993,2018-06-02 05:00:00+00:00,Assault,5,2018-06,2018-06-02
MP 2018 180934,2018-06-02 05:00:00+00:00,Auto Theft,8,2018-06,2018-06-02
MP 2018 181029,2018-06-02 06:30:00+00:00,Auto Theft,8,2018-06,2018-06-02
MP 2018 181098,2018-06-02 09:30:00+00:00,Larceny,7,2018-06,2018-06-02
MP 2018 181320,2018-06-02 15:01:00+00:00,Auto Theft,8,2018-06,2018-06-02
MP 2018 181193,2018-06-02 11:28:00+00:00,Auto Theft,8,2018-06,2018-06-02
MP 2018 181334,2018-06-02 17:35:00+00:00,Larceny,7,2018-06,2018-06-02
MP 2018 181433,2018-06-02 17:54:00+00:00,Assault,5,2018-06,2018-06-02
MP 2018 181476,2018-06-02 18:28:00+00:00,Robbery,4,2018-06,2018-06-02
MP 2018 181575,2018-06-02 19:10:00+00:00,Robbery,4,2018-06,2018-06-02
MP 2018 181497,2018-06-02 19:44:00+00:00,Assault,5,2018-06,2018-06-02
MP 2018 181622,2018-06-02 20:10:00+00:00,Larceny,7,2018-06,2018-06-02
MP 2018 181581,2018-06-02 20:45:00+00:00,Assault,5,2018-06,2018-06-02
MP 2018 997240,2018-06-02 21:30:30+00:00,Larceny,7,2018-06,2018-06-02
MP 2018 181811,2018-06-02 22:30:00+00:00,Larceny,7,2018-06,2018-06-02
MP 2018 181637,2018-06-03 00:00:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 181889,2018-06-03 23:55:00+00:00,Rape,3,2018-06,2018-06-03
MP 2018 181902,2018-06-03 00:48:00+00:00,Auto Theft,8,2018-06,2018-06-03
MP 2018 181933,2018-06-03 01:02:00+00:00,Assault,5,2018-06,2018-06-03
MP 2018 181961,2018-06-03 01:34:00+00:00,Robbery,4,2018-06,2018-06-03
MP 2018 181973,2018-06-03 01:52:00+00:00,Auto Theft,8,2018-06,2018-06-03
MP 2018 182056,2018-06-03 03:00:00+00:00,Assault,5,2018-06,2018-06-03
MP 2018 182025,2018-06-03 03:27:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182144,2018-06-03 05:21:00+00:00,Assault,5,2018-06,2018-06-03
MP 2018 182177,2018-06-03 08:18:00+00:00,Burglary,6,2018-06,2018-06-03
MP 2018 182182,2018-06-03 07:30:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 997237,2018-06-03 09:29:18+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182234,2018-06-03 09:34:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182249,2018-06-03 10:00:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 997236,2018-06-03 10:03:35+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182270,2018-06-03 10:30:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182271,2018-06-03 11:11:00+00:00,Burglary,6,2018-06,2018-06-03
MP 2018 997234,2018-06-03 11:28:34+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182312,2018-06-03 12:00:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182335,2018-06-03 12:10:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182328,2018-06-03 16:30:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182356,2018-06-03 14:08:00+00:00,Burglary,6,2018-06,2018-06-03
MP 2018 182319,2018-06-03 14:00:00+00:00,Burglary,6,2018-06,2018-06-03
MP 2018 997226,2018-06-03 14:18:46+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182329,2018-06-03 14:20:00+00:00,Auto Theft,8,2018-06,2018-06-03
MP 2018 182377,2018-06-03 13:32:00+00:00,Robbery,4,2018-06,2018-06-03
MP 2018 997224,2018-06-03 15:13:05+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 997223,2018-06-03 15:17:06+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 997222,2018-06-03 15:38:50+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182407,2018-06-03 15:30:00+00:00,Burglary,6,2018-06,2018-06-03
MP 2018 997220,2018-06-03 16:23:10+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 997219,2018-06-03 16:29:27+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 997218,2018-06-03 16:43:10+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182486,2018-06-03 17:20:00+00:00,Assault,5,2018-06,2018-06-03
MP 2018 182567,2018-06-03 18:17:00+00:00,Auto Theft,8,2018-06,2018-06-03
MP 2018 182483,2018-06-03 18:36:00+00:00,Burglary,6,2018-06,2018-06-03
MP 2018 182595,2018-06-03 18:40:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182569,2018-06-03 19:31:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182660,2018-06-03 20:08:00+00:00,Assault,5,2018-06,2018-06-03
MP 2018 182581,2018-06-03 20:10:00+00:00,Auto Theft,8,2018-06,2018-06-03
MP 2018 182637,2018-06-03 21:00:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182613,2018-06-03 20:25:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182663,2018-06-03 21:00:00+00:00,Burglary,6,2018-06,2018-06-03
MP 2018 997217,2018-06-03 21:09:10+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182461,2018-06-03 21:30:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182533,2018-06-03 21:50:00+00:00,Larceny,7,2018-06,2018-06-03
MP 2018 182513,2018-06-03 22:18:00+00:00,Larceny,7,2018-06,2018-06-03
